"REGIAO","ANO","INDICADOR_112"
"2501",2012,0
"2502",2012,0
"2503",2012,0
"2504",2012,0
"2501",2011,0
"2502",2011,0
"2503",2011,0
"2504",2011,0
"2501",2010,0
"2502",2010,0
"2503",2010,0
"2504",2010,0
"2501",2009,0
"2502",2009,0
"2503",2009,0
"2504",2009,0
"2501",2008,0
"2502",2008,0
"2503",2008,0
"2504",2008,0
"2501",2007,0
"2502",2007,0
"2503",2007,0
"2504",2007,0
"250101",2012,0
"250102",2012,0
"250103",2012,0
"250104",2012,0
"250105",2012,0
"250106",2012,0
"250107",2012,0
"250208",2012,0
"250209",2012,0
"250210",2012,0
"250211",2012,0
"250312",2012,0
"250313",2012,0
"250314",2012,0
"250315",2012,0
"250316",2012,0
"250317",2012,0
"250318",2012,0
"250319",2012,0
"250420",2012,0
"250421",2012,0
"250422",2012,0.0635775316288296
"250423",2012,0
"250101",2011,0
"250102",2011,0
"250103",2011,0
"250104",2011,0
"250105",2011,0
"250106",2011,0
"250107",2011,0
"250208",2011,0
"250209",2011,0
"250210",2011,0
"250211",2011,0
"250312",2011,0
"250313",2011,0
"250314",2011,0
"250315",2011,0
"250316",2011,0
"250317",2011,0
"250318",2011,0
"250319",2011,0
"250420",2011,0
"250421",2011,0
"250422",2011,0.114782573564056
"250423",2011,0
"250101",2010,0
"250102",2010,0
"250103",2010,0
"250104",2010,0
"250105",2010,0
"250106",2010,0
"250107",2010,0
"250208",2010,0
"250209",2010,0
"250210",2010,0
"250211",2010,0
"250312",2010,0
"250313",2010,0
"250314",2010,0
"250315",2010,0
"250316",2010,0
"250317",2010,0
"250318",2010,0
"250319",2010,0
"250420",2010,0
"250421",2010,0
"250422",2010,0.121197586031878
"250423",2010,0
"250101",2009,0
"250102",2009,0
"250103",2009,0
"250104",2009,0
"250105",2009,0
"250106",2009,0
"250107",2009,0
"250208",2009,0
"250209",2009,0
"250210",2009,0
"250211",2009,0
"250312",2009,0
"250313",2009,0
"250314",2009,0
"250315",2009,0
"250316",2009,0
"250317",2009,0
"250318",2009,0
"250319",2009,0
"250420",2009,0
"250421",2009,0
"250422",2009,0.149428662278346
"250423",2009,0
"250101",2008,0
"250102",2008,0
"250103",2008,0
"250104",2008,0
"250105",2008,0
"250106",2008,0
"250107",2008,0
"250208",2008,0
"250209",2008,0
"250210",2008,0
"250211",2008,0
"250312",2008,0
"250313",2008,0
"250314",2008,0
"250315",2008,0
"250316",2008,0
"250317",2008,0
"250318",2008,0
"250319",2008,0
"250420",2008,0
"250421",2008,0
"250422",2008,0.187895284943565
"250423",2008,0
"250101",2007,0
"250102",2007,0
"250103",2007,0
"250104",2007,0
"250105",2007,0
"250106",2007,0
"250107",2007,0
"250208",2007,0
"250209",2007,0
"250210",2007,0
"250211",2007,0
"250312",2007,0
"250313",2007,0
"250314",2007,0
"250315",2007,0
"250316",2007,0
"250317",2007,0
"250318",2007,0
"250319",2007,0
"250420",2007,0
"250421",2007,0
"250422",2007,0.131899155129151
"250423",2007,0
"25",2012,0
"25",2011,0
"25",2010,0
"25",2009,0
"25",2008,0
"25",2007,0
