"REGIAO","ANO","INDICADOR_207"
"2501",2000,0.413
"2502",2000,0.4325
"2503",2000,0.4085
"2504",2000,0.4005
"2501",2010,0.587
"2502",2010,0.5975
"2503",2010,0.574
"2504",2010,0.5695
"2501",1991,0.28055421686747
"2502",1991,0.298863636363636
"2503",1991,0.279818181818182
"2504",1991,0.283433333333333
"250101",2000,0.424
"250102",2000,0.425
"250103",2000,0.412
"250104",2000,0.413
"250105",2000,0.405
"250106",2000,0.41
"250107",2000,0.381
"250208",2000,0.4855
"250209",2000,0.409
"250210",2000,0.434
"250211",2000,0.4445
"250312",2000,0.423
"250313",2000,0.372
"250314",2000,0.4485
"250315",2000,0.399
"250316",2000,0.421
"250317",2000,0.4335
"250318",2000,0.394
"250319",2000,0.378
"250420",2000,0.367
"250421",2000,0.394
"250422",2000,0.4885
"250423",2000,0.411
"250101",2010,0.581
"250102",2010,0.603
"250103",2010,0.58
"250104",2010,0.596
"250105",2010,0.594
"250106",2010,0.592
"250107",2010,0.572
"250208",2010,0.629
"250209",2010,0.574
"250210",2010,0.606
"250211",2010,0.597
"250312",2010,0.591
"250313",2010,0.564
"250314",2010,0.601
"250315",2010,0.564
"250316",2010,0.592
"250317",2010,0.6125
"250318",2010,0.568
"250319",2010,0.541
"250420",2010,0.542
"250421",2010,0.552
"250422",2010,0.638
"250423",2010,0.586
"250101",1991,0.295636363636364
"250102",1991,0.294333333333333
"250103",1991,0.274882352941176
"250104",1991,0.270111111111111
"250105",1991,0.279111111111111
"250106",1991,0.286272727272727
"250107",1991,0.259454545454545
"250208",1991,0.331666666666667
"250209",1991,0.273555555555556
"250210",1991,0.296529411764706
"250211",1991,0.30475
"250312",1991,0.273363636363636
"250313",1991,0.246
"250314",1991,0.30775
"250315",1991,0.285
"250316",1991,0.286142857142857
"250317",1991,0.326875
"250318",1991,0.271888888888889
"250319",1991,0.232
"250420",1991,0.248909090909091
"250421",1991,0.254777777777778
"250422",1991,0.389833333333333
"250423",1991,0.28325
"25",2000,0.413
"25",2010,0.583
"25",1991,0.284336322869955
