"REGIAO","ANO","INDICADOR_041"
"2501",2012,28.57
"2502",2012,28.57
"2503",2012,57.14
"2504",2012,50
"2501",2011,0
"2502",2011,28.57
"2503",2011,57.14
"2504",2011,50
"2501",2010,0
"2502",2010,0
"2503",2010,0
"2504",2010,0
"2501",2009,0
"2502",2009,0
"2503",2009,0
"2504",2009,0
"2501",2008,0
"2502",2008,0
"2503",2008,0
"2504",2008,0
"250101",2012,28.57
"250102",2012,28.57
"250103",2012,57.14
"250104",2012,0
"250105",2012,57.14
"250106",2012,28.57
"250107",2012,28.57
"250208",2012,35.715
"250209",2012,42.86
"250210",2012,14.29
"250211",2012,21.43
"250312",2012,57.14
"250313",2012,42.86
"250314",2012,57.14
"250315",2012,28.575
"250316",2012,57.14
"250317",2012,85.71
"250318",2012,57.14
"250319",2012,28.57
"250420",2012,0
"250421",2012,57.14
"250422",2012,57.14
"250423",2012,78.57
"250101",2011,0
"250102",2011,0
"250103",2011,28.57
"250104",2011,0
"250105",2011,42.86
"250106",2011,0
"250107",2011,0
"250208",2011,14.285
"250209",2011,42.86
"250210",2011,14.29
"250211",2011,14.29
"250312",2011,57.14
"250313",2011,28.57
"250314",2011,50
"250315",2011,21.43
"250316",2011,57.14
"250317",2011,78.57
"250318",2011,57.14
"250319",2011,42.86
"250420",2011,0
"250421",2011,57.14
"250422",2011,64.285
"250423",2011,35.715
"250101",2010,0
"250102",2010,0
"250103",2010,0
"250104",2010,0
"250105",2010,0
"250106",2010,0
"250107",2010,0
"250208",2010,0
"250209",2010,0
"250210",2010,0
"250211",2010,7.145
"250312",2010,14.29
"250313",2010,0
"250314",2010,7.145
"250315",2010,0
"250316",2010,0
"250317",2010,0
"250318",2010,0
"250319",2010,0
"250420",2010,0
"250421",2010,0
"250422",2010,57.145
"250423",2010,0
"250101",2009,0
"250102",2009,0
"250103",2009,0
"250104",2009,0
"250105",2009,0
"250106",2009,0
"250107",2009,0
"250208",2009,0
"250209",2009,0
"250210",2009,0
"250211",2009,0
"250312",2009,0
"250313",2009,0
"250314",2009,0
"250315",2009,0
"250316",2009,0
"250317",2009,0
"250318",2009,0
"250319",2009,0
"250420",2009,0
"250421",2009,0
"250422",2009,14.29
"250423",2009,0
"250101",2008,0
"250102",2008,0
"250103",2008,0
"250104",2008,0
"250105",2008,0
"250106",2008,0
"250107",2008,0
"250208",2008,0
"250209",2008,0
"250210",2008,0
"250211",2008,0
"250312",2008,0
"250313",2008,0
"250314",2008,0
"250315",2008,0
"250316",2008,0
"250317",2008,0
"250318",2008,0
"250319",2008,0
"250420",2008,0
"250421",2008,0
"250422",2008,14.29
"250423",2008,0
"25",2012,0
"25",2011,0
"25",2010,0
"25",2009,0
"25",2008,0
