"REGIAO","ANO","INDICADOR_201"
"2501",2000,63.52
"2502",2000,63.02
"2503",2000,63.185
"2504",2000,62.86
"2501",2010,70.7
"2502",2010,70.325
"2503",2010,70.62
"2504",2010,70.03
"2501",1991,58.34
"2502",1991,57.21
"2503",1991,56.35
"2504",1991,55.13
"250101",2000,64.64
"250102",2000,64.36
"250103",2000,63.56
"250104",2000,63.33
"250105",2000,64.36
"250106",2000,63.16
"250107",2000,61.35
"250208",2000,65.795
"250209",2000,62.88
"250210",2000,63.24
"250211",2000,63.05
"250312",2000,62.92
"250313",2000,62.12
"250314",2000,64.27
"250315",2000,63.56
"250316",2000,63.935
"250317",2000,63.615
"250318",2000,61.33
"250319",2000,61.35
"250420",2000,61.26
"250421",2000,62.39
"250422",2000,67.04
"250423",2000,63.46
"250101",2010,71.58
"250102",2010,70.95
"250103",2010,70.7
"250104",2010,71.25
"250105",2010,71.3
"250106",2010,70.23
"250107",2010,68.43
"250208",2010,71.375
"250209",2010,69.51
"250210",2010,70.45
"250211",2010,70.665
"250312",2010,70.96
"250313",2010,70.45
"250314",2010,71.395
"250315",2010,70.66
"250316",2010,71.43
"250317",2010,71.225
"250318",2010,68.94
"250319",2010,67.69
"250420",2010,68.69
"250421",2010,69.26
"250422",2010,72.285
"250423",2010,70.82
"250101",1991,60.98
"250102",1991,57.23
"250103",1991,58.67
"250104",1991,55.5
"250105",1991,56.84
"250106",1991,59.19
"250107",1991,55.64
"250208",1991,60.16
"250209",1991,57.24
"250210",1991,56.68
"250211",1991,57.18
"250312",1991,55.01
"250313",1991,57.18
"250314",1991,56.665
"250315",1991,57.975
"250316",1991,57.18
"250317",1991,58.7
"250318",1991,55.44
"250319",1991,55.02
"250420",1991,54.13
"250421",1991,55.01
"250422",1991,62.375
"250423",1991,56.045
"25",2000,63.41
"25",2010,63.41
"25",1991,63.41
