"INDICADOR","ANO","NORMAL","STATISTIC","P.VALUE"
INDICADOR_107,2012,FALSE,0.8461049,4.023214e-14
INDICADOR_108,2007,FALSE,0.7521009,5.062846e-18
INDICADOR_108,2008,FALSE,0.755315,6.577952e-18
INDICADOR_108,2009,FALSE,0.7485752,3.809935e-18
INDICADOR_108,2010,FALSE,0.7418088,2.225785e-18
INDICADOR_108,2011,FALSE,0.7385659,1.726661e-18
INDICADOR_108,2012,FALSE,0.7614857,1.095193e-17
INDICADOR_109,2007,FALSE,0.2460606,3.755249e-29
INDICADOR_109,2008,FALSE,0.2957146,2.179025e-28
INDICADOR_109,2009,FALSE,0.212293,1.196427e-29
INDICADOR_109,2010,FALSE,0.2957704,2.183455e-28
INDICADOR_109,2011,FALSE,0.3108465,3.797171e-28
INDICADOR_109,2012,FALSE,0.3016863,2.709911e-28
INDICADOR_110,2007,FALSE,0.3264432,6.799781e-28
INDICADOR_110,2008,FALSE,0.3252412,6.498768e-28
INDICADOR_110,2009,FALSE,0.3104928,3.747784e-28
INDICADOR_110,2010,FALSE,0.2246955,1.812718e-29
INDICADOR_110,2011,FALSE,0.2800056,1.236448e-28
INDICADOR_110,2012,FALSE,0.2628122,6.724678e-29
INDICADOR_111,2007,FALSE,0.7215564,4.729837e-19
INDICADOR_111,2008,FALSE,0.6048689,2.43309e-22
INDICADOR_111,2009,FALSE,0.5918077,1.164882e-22
INDICADOR_111,2010,FALSE,0.448438,9.770287e-26
INDICADOR_111,2011,FALSE,0.5473986,1.082285e-23
INDICADOR_111,2012,FALSE,0.534022,5.481007e-24
INDICADOR_112,2007,FALSE,0.4275217,3.935645e-26
INDICADOR_112,2008,FALSE,0.3903846,8.335344e-27
INDICADOR_112,2009,FALSE,0.3673969,3.308916e-27
INDICADOR_112,2010,FALSE,0.3883125,7.660756e-27
INDICADOR_112,2011,FALSE,0.3897756,8.130944e-27
INDICADOR_112,2012,FALSE,0.3908339,8.489531e-27
INDICADOR_113,2007,FALSE,0.9632039,1.59637e-05
INDICADOR_113,2008,FALSE,0.9651975,2.784145e-05
INDICADOR_113,2009,FALSE,0.9716304,0.0001871357
INDICADOR_113,2010,FALSE,0.9742794,0.0004329687
INDICADOR_113,2011,TRUE,0.9887731,0.07882732
INDICADOR_113,2012,TRUE,0.9923893,0.3037574
INDICADOR_114,2007,FALSE,0.8809686,3.093724e-12
INDICADOR_114,2008,FALSE,0.889136,9.676896e-12
INDICADOR_114,2009,FALSE,0.9259812,3.820045e-09
INDICADOR_114,2010,FALSE,0.9728752,0.0002763879
INDICADOR_114,2011,FALSE,0.970166,0.0001193775
INDICADOR_114,2012,FALSE,0.969807,0.0001070769
INDICADOR_201,1991,FALSE,0.9793252,0.002359559
INDICADOR_201,2010,TRUE,0.9906222,0.1594653
INDICADOR_201,2000,FALSE,0.9822425,0.006685852
INDICADOR_202,1991,FALSE,0.9581983,4.207661e-06
INDICADOR_202,2010,FALSE,0.9792962,0.002335794
INDICADOR_202,2000,FALSE,0.952112,9.26616e-07
INDICADOR_203,1991,FALSE,0.9868423,0.03752752
INDICADOR_203,2010,FALSE,0.9728241,0.0002719593
INDICADOR_203,2000,FALSE,0.9820143,0.006152834
INDICADOR_204,1991,FALSE,0.9861597,0.02890466
INDICADOR_204,2010,FALSE,0.9801127,0.003111761
INDICADOR_204,2000,FALSE,0.9826541,0.0077718
INDICADOR_205,1991,FALSE,0.9768233,0.001001195
INDICADOR_205,2010,FALSE,0.9846988,0.01661511
INDICADOR_205,2000,FALSE,0.9824659,0.007254265
INDICADOR_206,1991,TRUE,0.9879817,0.05813912
INDICADOR_206,2010,TRUE,0.9905068,0.1526947
INDICADOR_206,2000,TRUE,0.9929304,0.3658015
INDICADOR_207,1991,FALSE,0.9633206,1.648527e-05
INDICADOR_207,2010,FALSE,0.9279837,5.557922e-09
INDICADOR_207,2000,FALSE,0.9523215,9.744215e-07
INDICADOR_208,1991,FALSE,0.9788725,0.002015536
INDICADOR_208,2010,TRUE,0.9906413,0.1606186
INDICADOR_208,2000,FALSE,0.9819564,0.006024739
