"REGIAO","ANO","INDICADOR_001","INDICADOR_002","INDICADOR_004","INDICADOR_007","INDICADOR_009","INDICADOR_020","INDICADOR_021","INDICADOR_035","INDICADOR_041","INDICADOR_101","INDICADOR_102","INDICADOR_103","INDICADOR_104","INDICADOR_105","INDICADOR_106","INDICADOR_107","INDICADOR_108","INDICADOR_109","INDICADOR_110","INDICADOR_111","INDICADOR_112","INDICADOR_113","INDICADOR_114","INDICADOR_201","INDICADOR_202","INDICADOR_203","INDICADOR_204","INDICADOR_205","INDICADOR_206","INDICADOR_207","INDICADOR_208"
25,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.18,4.43,81.15,105.24,59.41,7.21385650224215,0.284336322869955,0.536
25,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.24,2.9,48.6,62.45,68.55,8.05242152466368,0.413,0.637
25,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.040847816953,325.96969254614,0.23217867880999,0.0893425063334447,0.962667972100494,0.0373320278995059,0.816165475955502,0.0197985909789936,0,0,0.00895180957578126,0,0.539521524345961,0.589656337121411,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,100,43.48,100,0.12,0.82,59.31,48.8177130044843,66.67,0,355.503505745044,333.090185970888,0.229750102806211,0.0876914051432405,0.963850990190601,0.0361490098093991,0.857344764747338,0.0348719571465584,0,0,0.00700161649220244,0,0.511775910343374,0.504375300059077,NA,NA,NA,NA,NA,NA,NA,NA
25,2009,100,41.0724215246637,100,0.16,0.87,56.67,52.1939461883408,66.67,0,363.601420434549,345.219599303092,0.224144950781129,0.0986065565490134,0.969075130474378,0.0309248695256215,0.900589999561904,0.0249030768531996,0,0,0.00441023876714214,0,0.579640869008024,0.414467232724302,NA,NA,NA,NA,NA,NA,NA,NA
25,2010,100,41.5257847533632,100,0.19,0.99,53.19,58.0704484304933,66.67,0,391.330437827767,369.126420844195,0.223481547280632,0.0772980570218192,0.970736675035824,0.0292633249641762,0.876678685958364,0.012843176245288,0,0,0.00731361619554038,0,0.579797975505268,0.385097250965573,70.45,2.15,26,28.08,82.61,9.60094170403587,0.583,0.758
25,2011,100,37.3987443946188,100,0.32,1.19,50.57,60.807399103139,50,28.57,423.620476996376,389.359289334732,0.224562351787396,0.109289882287061,0.953185758834002,0.0468142411659979,0.864010190617269,0.032729446957832,0,0,0.00697137500800926,0,0.561785213572053,0.322313262737446,NA,NA,NA,NA,NA,NA,NA,NA
25,2012,100,34.26,100,0.39,1.47,NA,NA,12.5,42.86,449.544663398407,415.83443268388,0.229276053025252,0.106028109524998,0.94946722771364,0.0505327722863604,0.857263879163032,0.0430501666323749,0,0,0.00799350273200954,0,0.557886695338897,0.289234552264524,NA,NA,NA,NA,NA,NA,NA,NA
2501,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.34,4.32,75.11,97.75,61.41,6.31638554216867,0.28055421686747,0.556
2501,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.52,2.58,47.55,61.14,69.04,7.33722891566265,0.413,0.642
2501,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.832396649204,361.209176069207,0.23706996453862,0.0914986659140953,0.957738724162877,0.0422612758371228,0.909502369523746,0,0,0,0.00174492131323451,0,0.461440407725837,0.535659042569365,NA,NA,NA,NA,NA,NA,NA,NA
2501,2008,100,48.04,100,0.05,0.67,49.07,44.4592771084337,66.67,0,371.479313845586,356.023626333644,0.227157568497257,0.0854910769200588,0.964016454397784,0.035983545602216,0.904136890780385,0,0,0,0.00098018282796395,0,0.470908624954292,0.468197980134774,NA,NA,NA,NA,NA,NA,NA,NA
2501,2009,100,44.219156626506,100,0.06,0.76,45.61,45.6957831325301,66.67,0,380.239147450703,348.060303420806,0.223756830679388,0.132970962992568,0.955939008279451,0.0440609917205491,0.930096937689711,0,0,0,0.000438690755866278,0,0.529446250171789,0.296501673506773,NA,NA,NA,NA,NA,NA,NA,NA
2501,2010,100,43.848313253012,100,0.09,0.87,40.26,54.2892771084337,50,0,411.329226893594,363.975023966872,0.227137107145006,0.0859974943849197,0.951855935425294,0.048144064574706,0.900227106214137,0,0,0,0.00262881332306688,0,0.559783998196768,0.266325235701601,70.7,1.97,25.3,27.28,83.03,9.39771084337349,0.587,0.762
2501,2011,100,39.8181927710843,100,0.15,1,40.32,60.0204819277108,37.5,0,458.341063202501,406.044353469174,0.227764099388831,0.123865127515254,0.944090478275532,0.0559095217244676,0.864010190617269,0.00550834550278554,0,0,0.00184582834803315,0,0.529879033058726,0.231374734652883,NA,NA,NA,NA,NA,NA,NA,NA
2501,2012,100,37.5,100,0.2,1.16,NA,NA,0,28.57,471.224663165656,430.343292754221,0.241924413669782,0.116795192350376,0.919609090992302,0.0803909090076981,0.884306145671174,0.0227811468456469,0,0,0.00799350273200954,0,0.515834142028167,0.236348759121694,NA,NA,NA,NA,NA,NA,NA,NA
2502,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.21,4.265,80.99,105.045,59.46,8.30454545454545,0.298863636363636,0.5365
2502,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.02,2.92,49.41,63.465,68.175,9.07431818181818,0.4325,0.6335
2502,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,400.959230866857,382.752341831182,0.2284109160254,0.0576558488544278,0.97873699190197,0.0212630080980299,0.43241993040587,0.142674541077602,0,0,0,0,0.518899886448762,0.556432643137829,NA,NA,NA,NA,NA,NA,NA,NA
2502,2008,100,43.73,100,0.285,0.785,64.04,57.0404545454545,66.67,0,420.696561599994,385.074668074148,0.235865399276147,0.145226466874192,0.944558896015429,0.0554411039845714,0.386398997478049,0.255940125951225,0,0.000138076137260784,0,0,0.492929245395948,0.49397641359594,NA,NA,NA,NA,NA,NA,NA,NA
2502,2009,100,37.1977272727273,100,0.34,0.905,56.17,60.8152272727273,66.67,0,423.267536004652,401.254571877328,0.226493483882662,0.0769720240548449,0.9730603819731,0.0269396180268998,0.395245877182899,0.062718558028985,0,0,0,0,0.563811570529504,0.405731113428068,NA,NA,NA,NA,NA,NA,NA,NA
2502,2010,100,37.1106818181818,100,0.24,0.83,52.325,65.1454545454545,66.67,0,437.981386430978,422.671160302728,0.220999483320532,0.0757403937639826,0.976731295339822,0.0232687046601787,0.663215186893721,0.0487830907718013,0,0,0.00829952242941225,0,0.560339336605428,0.414830528633135,70.325,2.115,26.4,28.48,82.395,10.4375,0.5975,0.7555
2502,2011,100,32.5436363636364,100,0.38,1.09,52.01,67.4415909090909,37.5,28.57,473.058609789658,448.505154834648,0.225091817183245,0.0939212606756767,0.947919905982767,0.0520800940172338,0.640781963246963,0.0527287141490647,0,0,0.00894981118642958,0,0.533931245792088,0.370892320094411,NA,NA,NA,NA,NA,NA,NA,NA
2502,2012,100,35.71,100,0.435,1.49,NA,NA,12.5,28.57,511.965062290816,471.225757446654,0.226762294344218,0.111082688329266,0.938968896549876,0.0610311034501241,0.617171128009993,0.0854797527377902,0,0,0.00117281517571603,0,0.531500703693332,0.31056712725874,NA,NA,NA,NA,NA,NA,NA,NA
2503,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.35,4.295,85.61,110.755,57.99,8.08984848484848,0.279818181818182,0.5225
2503,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.185,3.04,48.795,62.695,68.46,8.88227272727273,0.4085,0.6365
2503,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.22510543868,270.817778732809,0.232183943175251,0.0912139918427891,0.974394056252357,0.0256059437476431,0.586176733100348,0.20116997850552,0,0,0.0141516825525991,0,0.568182766915059,0.637921834977159,NA,NA,NA,NA,NA,NA,NA,NA
2503,2008,100,40.905,100,0.15,0.94,64.235,49.975303030303,66.67,0,300.845016632784,279.317152733798,0.231637568623273,0.0872404652277135,0.967920842274303,0.0320791577256971,0.599927533569675,0.128227897709077,0,0,0.0137326545994731,0,0.557828300733,0.572126848527055,NA,NA,NA,NA,NA,NA,NA,NA
2503,2009,100,39.7760606060606,100,0.195,0.97,63.905,56.6315151515152,75,0,314.10984119164,303.696367132355,0.226106253706485,0.0848502787002531,0.975356127316354,0.0246438726836456,0.694338250873264,0.151381097959433,0,0,0.0127088068226451,0,0.604782951564317,0.4741067305473,NA,NA,NA,NA,NA,NA,NA,NA
2503,2010,100,41.7943939393939,100,0.255,1.095,59.73,62.0054545454545,66.67,0,333.725226774836,316.58329240878,0.224334358103056,0.0715656595288198,0.97601032702859,0.0239896729714108,0.696771216656084,0.0666009397627017,0,0,0.0111289595301526,0,0.617440233715955,0.406374027950327,70.62,2.18,25.5,27.525,82.895,10.1584848484848,0.574,0.7605
2503,2011,100,37.6234848484848,100,0.32,1.245,57.21,61.4172727272727,37.5,57.14,361.509833577484,346.89080067832,0.224350413806829,0.104166310853174,0.959392953825378,0.0406070461746222,0.764525496712952,0.0740253039829614,0,0,0.0112692735735342,0,0.594013960898917,0.366066529338478,NA,NA,NA,NA,NA,NA,NA,NA
2503,2012,100,31.795,100,0.46,1.61,NA,NA,25,57.14,389.465823221841,367.897270098815,0.226410582993092,0.091983394422661,0.959729974824229,0.0402700251757713,0.755129586704274,0.105151980820027,0,0,0.00952650147427308,0,0.598683565550453,0.305803186035018,NA,NA,NA,NA,NA,NA,NA,NA
2504,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.13,4.99,92.48,119.175,55.915,6.17,0.283433333333333,0.502
2504,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.86,3.125,50.015,64.225,67.895,6.70666666666667,0.4005,0.631
2504,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.464996035091,284.864548864512,0.221842741639372,0.112105723401439,0.960877992560891,0.0391220074391092,0.938801087992916,0.000200520560828512,0,0,0.00911000501733995,0,0.602004307110775,0.526674893807386,NA,NA,NA,NA,NA,NA,NA,NA
2504,2008,100,46.505,100,0.14,1.015,61.15,46.2693333333333,66.67,0,298.742685824136,284.878987018162,0.220108948937836,0.0527009090157769,0.978522797396012,0.0214772026039878,0.974642313451792,0.00462532998861298,0,0,0.00872319014622872,0,0.614706623885323,0.402266879449395,NA,NA,NA,NA,NA,NA,NA,NA
2504,2009,100,40.9013333333333,100,0.23,1.095,60.36,47.765,75,0,315.711294468374,299.750988482272,0.217103988686708,0.0758261762793369,0.973574548461958,0.0264254515380416,0.950117745875692,0.0187538451005667,0,0,0.00453439649087822,0,0.639775527469098,0.437233941757283,NA,NA,NA,NA,NA,NA,NA,NA
2504,2010,100,40.9846666666667,100,0.33,1.285,56.015,49.498,66.67,0,347.445633239803,334.965191231091,0.212555662671555,0.0661199100271301,0.977356915528304,0.0226430844716958,0.953771567146269,0.006537761315461,0,0,0.00235703502280916,0,0.645646476031515,0.466032003566927,70.03,2.33,27.25,29.425,81.9,7.70966666666667,0.5695,0.7505
