"COD_MUNICIPIO","COD_UF","NOME_UF","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","Ano","INDICADOR_207"
250010,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",1991,0.267
250010,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",2010,0.572
250010,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",2000,0.415
250020,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",2010,0.597
250020,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",1991,0.273
250020,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",2000,0.392
250030,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",1991,0.322
250030,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",2010,0.582
250030,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",2000,0.426
250040,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",2010,0.576
250040,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",2000,0.389
250040,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",1991,0.306
250050,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",2010,0.595
250050,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",1991,0.257
250050,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",2000,0.411
250053,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",1991,0.321
250053,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",2000,0.408
250053,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",2010,0.578
250057,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",2010,0.548
250057,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",2000,0.313
250057,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",1991,0.182
250060,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",2010,0.582
250060,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",2000,0.415
250060,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",1991,0.276
250070,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",2000,0.448
250070,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",1991,0.3
250070,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",2010,0.608
250073,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",2000,0.392
250073,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",2010,0.606
250073,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",1991,0.26
250077,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",2000,0.425
250077,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",2010,0.578
250077,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",1991,0.253
250080,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",2000,0.389
250080,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",2010,0.549
250080,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",1991,0.26
250090,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",2000,0.387
