"COD_MUNICIPIO","COD_UF","NOME_UF","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","Ano","INDICADOR_204"
250010,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",1991,131.21
250010,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",2010,37.6
250010,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",2000,71.56
250020,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",2010,28.99
250020,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",1991,116.6
250020,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",2000,67.7
250030,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",1991,73.39
250030,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",2010,21.07
250030,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",2000,50.18
250040,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",2010,29.77
250040,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",2000,62.45
250040,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",1991,113.02
250050,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",2010,21.35
250050,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",1991,105.24
250050,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",2000,55.74
250053,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",1991,81.17
250053,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",2000,66.1
250053,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",2010,26.63
250057,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",2010,29.77
250057,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",2000,69.78
250057,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",1991,110.64
250060,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",2010,24.28
250060,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",2000,61.65
250060,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",1991,118.32
250070,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",2000,57.38
250070,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",1991,108.85
250070,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",2010,23.55
250073,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",2000,67.7
250073,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",2010,29.07
250073,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",1991,93.12
250077,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",2000,60.95
250077,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",2010,30.24
250077,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",1991,77.34
250080,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",2000,64.32
250080,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",2010,30.53
250080,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",1991,121.14
250090,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",2000,73.48
250090,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",1991,131.21
250090,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",2010,37.69
250100,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",1991,121.49
250100,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",2010,28.08
250100,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",2000,67.78
250110,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",2010,28.42
