"COD_MUNICIPIO","ANO","COD_UF","NOME_UF","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_107"
250010,2007,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",1
250010,2008,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",0.986404936155764
250010,2009,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",0.961122045223412
250010,2010,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",1
250010,2011,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",1
250010,2012,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",0.893788088753455
250020,2007,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.974492335351397
250020,2008,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.97960786642584
250020,2009,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.983360465620522
250020,2010,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.673642840977848
250020,2011,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.714483530727867
250020,2012,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.794302122994434
250030,2007,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.439078228865915
250030,2008,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.97241070360066
250030,2009,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.41456938490666
250030,2010,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",1
250030,2011,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.718456070586236
250030,2012,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.721659833207961
250040,2007,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.670552894992763
250040,2008,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.596416392037192
250040,2009,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.574972230536027
250040,2010,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.635733978091116
250040,2011,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.723954190685897
250040,2012,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.765909426873046
250050,2007,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.495058030268932
250050,2008,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.918880829156534
250050,2009,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.915493180235171
250050,2010,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.938815040110676
250050,2011,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.974374259530886
250050,2012,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.829228786004544
250053,2007,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.132162499889054
250053,2008,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.110780595346484
250053,2009,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.0865841736874368
250053,2010,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.370416069063594
250053,2011,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.321581047855036
250053,2012,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.300473869101384
250057,2007,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.92153354696947
250057,2008,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.979114125906567
250057,2009,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.958264554380254
250057,2010,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.957775869051576
250057,2011,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.959529288334415
250057,2012,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.959447775164383
250060,2007,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",1
250060,2008,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",1
250060,2009,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",1
250060,2010,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",1
250060,2011,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",1
250060,2012,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",1
250070,2007,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.970281815689731
250070,2008,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.983498864127717
250070,2009,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.991392207116672
250070,2010,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.875540819500231
250070,2011,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.831910928778894
250070,2012,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.727999672218163
250073,2007,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.240739601481644
250073,2008,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.184771066451032
250073,2009,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.0959472377266217
250073,2010,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.266632042247437
250073,2011,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.225608847959495
250073,2012,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.208453041817967
250077,2007,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.967471719585412
250077,2008,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.95078363652494
250077,2009,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.967144699292032
250077,2010,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.977532859019337
250077,2011,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.971898422458442
250077,2012,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.994549406320133
250080,2007,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",0.500485443100133
250080,2008,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",0.480667386203489
250080,2009,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",0.478799447275523
250080,2010,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",0.413121892118243
250080,2011,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",0.393365384718524
250080,2012,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",0.382635725667624
250090,2007,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",0.981711694826479
250090,2008,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",0.945568095712535
250090,2009,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",0.977958348687
250090,2010,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",0.943556308697822
250090,2011,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",0.94451579103423
250090,2012,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",0.939251773320524
250100,2007,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",0.633142346095503
250100,2008,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",0.636746153673839
250100,2009,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",0.659075983070956
250100,2010,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",0.694317545659575
250100,2011,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",0.670558929449648
250100,2012,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",0.74312181728264
250110,2007,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",0.611353251519866
250110,2008,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",0.603438675102159
250110,2009,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",0.728261239771479
250110,2010,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",0.699224887652593
250110,2011,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",0.65007299425928
250110,2012,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",0.554957924273433
250115,2007,25,"Paraíba",2501,"Sertão Paraibano",250104,"Patos","Areia de Baraúnas",0.752982951745848
250115,2008,25,"Paraíba",2501,"Sertão Paraibano",250104,"Patos","Areia de Baraúnas",0.781370466859202
250115,2009,25,"Paraíba",2501,"Sertão Paraibano",250104,"Patos","Areia de Baraúnas",0.951437178992426
250115,2010,25,"Paraíba",2501,"Sertão Paraibano",250104,"Patos","Areia de Baraúnas",0.772075253517463
250115,2011,25,"Paraíba",2501,"Sertão Paraibano",250104,"Patos","Areia de Baraúnas",0.675425768692313
250115,2012,25,"Paraíba",2501,"Sertão Paraibano",250104,"Patos","Areia de Baraúnas",0.849596738467441
250120,2007,25,"Paraíba",2503,"Agreste Paraibano",250314,"Esperança","Areial",0.913069570855009
250120,2008,25,"Paraíba",2503,"Agreste Paraibano",250314,"Esperança","Areial",0.953039953775957
250120,2009,25,"Paraíba",2503,"Agreste Paraibano",250314,"Esperança","Areial",0.918172916742751
250120,2010,25,"Paraíba",2503,"Agreste Paraibano",250314,"Esperança","Areial",0.932846113838325
250120,2011,25,"Paraíba",2503,"Agreste Paraibano",250314,"Esperança","Areial",0.908999972574182
250120,2012,25,"Paraíba",2503,"Agreste Paraibano",250314,"Esperança","Areial",0.921263462937938
250130,2007,25,"Paraíba",2503,"Agreste Paraibano",250319,"Umbuzeiro","Aroeiras",0.9439176574736
250130,2008,25,"Paraíba",2503,"Agreste Paraibano",250319,"Umbuzeiro","Aroeiras",0.94188069013201
250130,2009,25,"Paraíba",2503,"Agreste Paraibano",250319,"Umbuzeiro","Aroeiras",0.947521156724043
250130,2010,25,"Paraíba",2503,"Agreste Paraibano",250319,"Umbuzeiro","Aroeiras",0.917807051319495
