"COD_MUNICIPIO","ANO","COD_UF","NOME_UF","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_105"
250010,2007,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",0.985802218932973
250010,2008,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",0.97938419095407
250010,2009,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",0.936842417542705
250010,2010,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",0.992768588004981
250010,2011,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",0.995128072251912
250010,2012,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",0.907506726584708
250020,2007,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.877617251911495
250020,2008,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.922597148573527
250020,2009,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.943510741116645
250020,2010,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.651268772933472
250020,2011,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.63797251980553
250020,2012,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Aguiar",0.917925438880056
250030,2007,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.936037996022777
250030,2008,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.979151397598701
250030,2009,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.977928530441999
250030,2010,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.985126250047998
250030,2011,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.976774800711248
250030,2012,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",0.93182556101861
250040,2007,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.989175821418309
250040,2008,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.99773737855473
250040,2009,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.96969760867572
250040,2010,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.929192843991499
250040,2011,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.982055388785785
250040,2012,25,"Paraíba",2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",0.958964792882336
250050,2007,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.999839133259016
250050,2008,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.989495516543505
250050,2009,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.878584821672266
250050,2010,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.990170193030908
250050,2011,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.930199929881215
250050,2012,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",0.890348628877695
250053,2007,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.961517438651414
250053,2008,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.963265551695926
250053,2009,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.994403687544672
250053,2010,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.984431287279696
250053,2011,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.9297018973904
250053,2012,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Alcantil",0.991207895900604
250057,2007,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.914868876506603
250057,2008,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.922381677106149
250057,2009,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.950735729812172
250057,2010,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.965692270062063
250057,2011,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.956529586318439
250057,2012,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",0.978172171818169
250060,2007,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",0.931379586964293
250060,2008,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",0.847166665098541
250060,2009,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",0.981493126909053
250060,2010,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",0.979678066420936
250060,2011,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",0.939253749840676
250060,2012,25,"Paraíba",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",0.915438974927532
250070,2007,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.960838450996741
250070,2008,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.982372458747055
250070,2009,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.963306065621732
250070,2010,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.942673739851106
250070,2011,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.92985561281076
250070,2012,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",0.841191066576831
250073,2007,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.965527302028604
250073,2008,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.908530576245841
250073,2009,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.736625502380768
250073,2010,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.85561537834407
250073,2011,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.961958057830406
250073,2012,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Amparo",0.991930262005616
250077,2007,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.971849052200888
250077,2008,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.955882666736346
250077,2009,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.975862728974592
250077,2010,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",0.980000781763714
