"REGIAO","ANO","INDICADOR_110"
"2501",2012,0
"2502",2012,0
"2503",2012,0
"2504",2012,0
"2501",2011,0
"2502",2011,0
"2503",2011,0
"2504",2011,6.42668208568475e-06
"2501",2010,0
"2502",2010,0
"2503",2010,0
"2504",2010,0
"2501",2009,0
"2502",2009,0
"2503",2009,0
"2504",2009,0
"2501",2008,0
"2502",2008,0.000138076137260784
"2503",2008,0
"2504",2008,0
"2501",2007,0
"2502",2007,0
"2503",2007,0
"2504",2007,0
"250101",2012,0
"250102",2012,0
"250103",2012,0
"250104",2012,0
"250105",2012,0
"250106",2012,0
"250107",2012,0
"250208",2012,0
"250209",2012,0
"250210",2012,0
"250211",2012,0.000543566614763515
"250312",2012,0
"250313",2012,0
"250314",2012,0.00015739285263737
"250315",2012,0
"250316",2012,0.00125266810506734
"250317",2012,0
"250318",2012,0
"250319",2012,0
"250420",2012,0
"250421",2012,0
"250422",2012,0.000611901297481187
"250423",2012,0
"250101",2011,0
"250102",2011,0
"250103",2011,0
"250104",2011,0
"250105",2011,0
"250106",2011,0
"250107",2011,0
"250208",2011,0
"250209",2011,0
"250210",2011,0
"250211",2011,0
"250312",2011,0
"250313",2011,0.000516910041132693
"250314",2011,0.000335852429177021
"250315",2011,0
"250316",2011,0
"250317",2011,0
"250318",2011,0
"250319",2011,0
"250420",2011,0
"250421",2011,0.000983201138431316
"250422",2011,0.00139649083460504
"250423",2011,6.42668208568475e-06
"250101",2010,0
"250102",2010,0
"250103",2010,0
"250104",2010,0.00106417283079795
"250105",2010,0
"250106",2010,0
"250107",2010,0
"250208",2010,0.000156405938380534
"250209",2010,0
"250210",2010,0
"250211",2010,0
"250312",2010,0
"250313",2010,0
"250314",2010,0.000373988735640559
"250315",2010,0
"250316",2010,2.07060558021838e-05
"250317",2010,0
"250318",2010,0
"250319",2010,0
"250420",2010,0
"250421",2010,0
"250422",2010,0.00160249508758347
"250423",2010,0.000288209985493393
"250101",2009,0
"250102",2009,0
"250103",2009,0
"250104",2009,0.000310519242797079
"250105",2009,0
"250106",2009,0
"250107",2009,0
"250208",2009,0
"250209",2009,0
"250210",2009,0
"250211",2009,0.00202505897083152
"250312",2009,0
"250313",2009,0
"250314",2009,0
"250315",2009,0
"250316",2009,0.000153142638117124
"250317",2009,0
"250318",2009,0
"250319",2009,0
"250420",2009,0
"250421",2009,0
"250422",2009,0.00160811977238097
"250423",2009,0.000303822039733644
"250101",2008,0
"250102",2008,0
"250103",2008,0
"250104",2008,0
"250105",2008,0
"250106",2008,0
"250107",2008,0
"250208",2008,0
"250209",2008,0
"250210",2008,0.00175639621420878
"250211",2008,0.00822785559073663
"250312",2008,0
"250313",2008,0.000153703538105722
"250314",2008,0
"250315",2008,8.5190522305508e-05
"250316",2008,0
"250317",2008,0
"250318",2008,0
"250319",2008,0.00403538987520666
"250420",2008,0
"250421",2008,0
"250422",2008,0.000710565733418691
"250423",2008,0.000197370159604386
"250101",2007,0
"250102",2007,0
"250103",2007,0
"250104",2007,0
"250105",2007,0
"250106",2007,0
"250107",2007,0
"250208",2007,0
"250209",2007,0
"250210",2007,0.00286383189416627
"250211",2007,0.00125227542479307
"250312",2007,0
"250313",2007,0
"250314",2007,0.00134653973249417
"250315",2007,0
"250316",2007,0
"250317",2007,0
"250318",2007,0
"250319",2007,0.000156710683498152
"250420",2007,0
"250421",2007,0
"250422",2007,0.00221948276024981
"250423",2007,0.000845786327215315
"25",2012,0
"25",2011,0
"25",2010,0
"25",2009,0
"25",2008,0
"25",2007,0
