"REGIAO","ANO","INDICADOR_007"
"2501",2012,0.2
"2502",2012,0.435
"2503",2012,0.46
"2504",2012,0.72
"2501",2011,0.15
"2502",2011,0.38
"2503",2011,0.32
"2504",2011,0.805
"2501",2010,0.09
"2502",2010,0.24
"2503",2010,0.255
"2504",2010,0.33
"2501",2009,0.06
"2502",2009,0.34
"2503",2009,0.195
"2504",2009,0.23
"2501",2008,0.05
"2502",2008,0.285
"2503",2008,0.15
"2504",2008,0.14
"250101",2012,0.3
"250102",2012,0.18
"250103",2012,0.21
"250104",2012,0.11
"250105",2012,0.29
"250106",2012,0.31
"250107",2012,0.15
"250208",2012,0.23
"250209",2012,0.42
"250210",2012,0.43
"250211",2012,0.5
"250312",2012,0.29
"250313",2012,0.28
"250314",2012,0.415
"250315",2012,0.315
"250316",2012,0.815
"250317",2012,0.56
"250318",2012,0.63
"250319",2012,0.35
"250420",2012,0.67
"250421",2012,0.71
"250422",2012,0.985
"250423",2012,0.595
"250101",2011,0.24
"250102",2011,0.06
"250103",2011,0.11
"250104",2011,0.11
"250105",2011,0.16
"250106",2011,0.28
"250107",2011,0.15
"250208",2011,0.215
"250209",2011,0.18
"250210",2011,0.57
"250211",2011,0.31
"250312",2011,0.16
"250313",2011,0.24
"250314",2011,0.255
"250315",2011,0.275
"250316",2011,0.89
"250317",2011,0.405
"250318",2011,0.53
"250319",2011,0.24
"250420",2011,0.79
"250421",2011,0.99
"250422",2011,0.89
"250423",2011,0.785
"250101",2010,0.18
"250102",2010,0.05
"250103",2010,0.07
"250104",2010,0.09
"250105",2010,0.07
"250106",2010,0.03
"250107",2010,0.14
"250208",2010,0.13
"250209",2010,0.2
"250210",2010,0.25
"250211",2010,0.32
"250312",2010,0.22
"250313",2010,0.13
"250314",2010,0.355
"250315",2010,0.16
"250316",2010,0.25
"250317",2010,0.31
"250318",2010,0.34
"250319",2010,0.18
"250420",2010,0.28
"250421",2010,0.33
"250422",2010,0.43
"250423",2010,0.3
"250101",2009,0.21
"250102",2009,0
"250103",2009,0.07
"250104",2009,0.15
"250105",2009,0.06
"250106",2009,0.02
"250107",2009,0.13
"250208",2009,0.1
"250209",2009,0.07
"250210",2009,0.6
"250211",2009,0.36
"250312",2009,0.16
"250313",2009,0.14
"250314",2009,0.18
"250315",2009,0.23
"250316",2009,0.22
"250317",2009,0.315
"250318",2009,0.15
"250319",2009,0.16
"250420",2009,0.21
"250421",2009,0.23
"250422",2009,0.27
"250423",2009,0.215
"250101",2008,0.11
"250102",2008,0
"250103",2008,0.04
"250104",2008,0.06
"250105",2008,0.05
"250106",2008,0.05
"250107",2008,0.08
"250208",2008,0.355
"250209",2008,0.07
"250210",2008,0.29
"250211",2008,0.335
"250312",2008,0.12
"250313",2008,0.1
"250314",2008,0.26
"250315",2008,0.155
"250316",2008,0.115
"250317",2008,0.355
"250318",2008,0.15
"250319",2008,0.15
"250420",2008,0.14
"250421",2008,0.14
"250422",2008,0.195
"250423",2008,0.11
"25",2012,0.21
"25",2011,0.21
"25",2010,0.21
"25",2009,0.21
"25",2008,0.21
