"COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_001","DESVIOS_MELHOR_INDICADOR_01","INDICADOR_002","DESVIOS_MELHOR_INDICADOR_02","INDICADOR_004","DESVIOS_MELHOR_INDICADOR_04","INDICADOR_007","DESVIOS_MELHOR_INDICADOR_07","INDICADOR_009","DESVIOS_MELHOR_INDICADOR_09","INDICADOR_020","DESVIOS_MELHOR_INDICADOR_020","INDICADOR_021","DESVIOS_MELHOR_INDICADOR_021","INDICADOR_035","DESVIOS_MELHOR_INDICADOR_035","INDICADOR_041","DESVIOS_MELHOR_INDICADOR_041","INDICADOR_101","DESVIOS_MELHOR_INDICADOR_101","INDICADOR_102","DESVIOS_MELHOR_INDICADOR_102","INDICADOR_103","DESVIOS_MELHOR_INDICADOR_103","INDICADOR_105","DESVIOS_MELHOR_INDICADOR_105","INDICADOR_106","DESVIOS_MELHOR_INDICADOR_106","INDICADOR_107","DESVIOS_MELHOR_INDICADOR_107","INDICADOR_108","DESVIOS_MELHOR_INDICADOR_108","INDICADOR_109","DESVIOS_MELHOR_INDICADOR_109","INDICADOR_110","DESVIOS_MELHOR_INDICADOR_110","INDICADOR_111","DESVIOS_MELHOR_INDICADOR_111","INDICADOR_112","DESVIOS_PIOR_INDICADOR_112","INDICADOR_113","DESVIOS_PIOR_INDICADOR_113","INDICADOR_114","DESVIOS_PIOR_INDICADOR_114"
250020,2011,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",54.25,-3,11.32,-3,100,4,0.49,1,0.22,-3,48.53,-1,60.29,-1,37.5,-1,42.86,1,573.373333936979,1,1533.05197211155,1,0.308367231261766,2,2.67374131542723,-2,0.569145407355337,1,2262174.57,1,NA,NA,NA,NA,0.228512221345,4,0.22851222134,4,0,0,1020456.46,-1,0.3994245416,1
250020,2012,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",100,4,28.95,-1,100,4,0.51,1,0.34,-2,0.34,-2,0.34,-2,0,-4,85.71,3,494.481240478781,1,1741.73841494378,1,0.247271109834526,1,3.52235488904967,-1,0.521789211202079,-1,2165719.99,-1,435934.56,-1,NA,NA,0.045813982461,2,0.04581398246,2,0,0,1453971.24,-1,0.4220107538,1
250030,2007,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.613348502487,-1,649.050729883233,-1,0.270121514293046,1,3.35230362422504,-1,0.349733966587261,-1,2409818.33,1,312409.4,-1,NA,NA,0.014691243906,1,0.01469124391,-1,0.48930832512,2,NA,NA,0.1018307553,-2
250030,2008,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",100,4,53.48,2,100,4,0.17,1,0.46,-1,69.09,2,46.8,-1,50,-1,28.57,4,215.041843092827,-1,793.184402393259,-1,0.226108424885604,-1,3.68851192393689,-1,0.734145040331182,1,5906492.53,2,49736.97,-1,NA,NA,0.016485114376,1,0.01648511438,1,0.00291577549,2,3816920.88,2,0.1041258519,-2
250030,2009,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",100,4,48.43,1,84.97,-2,0.21,1,0.48,-1,66.95,1,46.65,-1,100,4,28.57,4,254.567793547469,-1,841.335086970441,-1,0.253343448454291,1,3.30495494047466,-2,0.642255875914081,2,2966933.95,1,4085368.09,2,NA,NA,0.014582539359,1,0.01458253936,1,0,2,4806183.26,2,0.2126746024,-1
250030,2010,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",100,4,50.95,1,100,4,0.29,1,0.85,-1,66.67,2,51.28,-1,66.67,0,0,0,258.787773447101,-1,992.255757926893,-1,0.239004449336454,1,3.83424512182265,-1,0.349777404855376,-1,7370017,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5529928.23,2,0.3387968021,-1
250030,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",100,4,45.79,1,84.27,-2,0.26,-1,1.23,1,64.14,2,57.59,-1,50,0,42.86,1,287.915408590425,-1,1164.6313902276,-1,0.224138475826262,-1,4.04504710577805,-1,4164805115291,3,5880254.95,2,2304316.37,1,NA,NA,NA,NA,NA,NA,0,0,6144484.2,2,0.3826623239,1
250030,2012,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",100,4,25.29,-1,84.43,-2,0.73,1,1.8,1,1.8,1,1.8,1,12.5,0,0,-4,387.54221814978,-1,1312.29085215859,-1,0.260394147694292,1,3.38618811241723,-1,0.454143972058103,-1,7935739.89,2,3060770.55,1,NA,NA,NA,NA,NA,NA,0,0,7686753.69,2,0.5101904284,2
250040,2007,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.534583268341,-1,635.180966047938,-1,0.238301441949418,1,3.93216705176239,-1,0.264198659747913,-1,2083270.14,1,913659.85,1,0.000253196651581709,-2,0.033171233358,2,0.03317123336,2,0,0,2442286.4,2,0.1119582642,-2
250040,2007,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.534583268341,-1,635.180966047938,-1,0.238301441949418,1,3.93216705176239,-1,0.264198659747913,-1,2083270.14,1,913659.85,1,0.000253196651581709,-2,0.001938271015,-1,0.03317123336,2,0,0,2442286.4,2,0.1119582642,-2
