"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_001","INDICADOR_002","INDICADOR_004","INDICADOR_007","INDICADOR_009","INDICADOR_020","INDICADOR_021","INDICADOR_035","INDICADOR_041","INDICADOR_101","INDICADOR_102","INDICADOR_103","INDICADOR_104","INDICADOR_105","INDICADOR_106","INDICADOR_107","INDICADOR_108","INDICADOR_109","INDICADOR_110","INDICADOR_111","INDICADOR_112","INDICADOR_113","INDICADOR_114","INDICADOR_201","INDICADOR_202","INDICADOR_203","INDICADOR_204","INDICADOR_205","INDICADOR_206","INDICADOR_207","INDICADOR_208"
25,"Paraíba",250010,1991,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.46,5.68,102.39,131.21,53.12,5.51,0.267,0.474
25,"Paraíba",250010,2000,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.35,3.94,55.93,71.56,65.27,7.02,0.415,0.606
25,"Paraíba",250010,2007,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,299.944366198159,295.685821754589,0.196149510243668,0.0110521578571225,0.985802218932973,0.0141977810670268,1,0,0,0,0,0,0.695442385617603,0.633681768522572,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",250010,2008,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",100,62.83,100,0.3,0.83,66.47,30.06,66.67,0,285.214671703011,279.334740494084,0.210384808781691,0.0204718056566847,0.97938419095407,0.0206158090459299,0.986404936155764,0.0135950638442363,0,0,0,0,0.630038941420563,0.64492310968005,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",250010,2009,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",100,52.82,100,0.29,1.09,55.74,27.87,83.33,0,317.526569272108,297.472358790922,0.215948223985532,0.091952190802287,0.936842417542705,0.0631575824572954,0.961122045223412,0.0388779547765878,0,0,0,0,0.736043474756618,0.393493682587223,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",250010,2010,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",100,50.37,100,0.16,0.98,47.62,42.86,100,0,336.75870536885,334.32346442742,0.247800346097805,0.0386510196875844,0.992768588004981,0.00723141199501866,1,0,0,0,0,0,0.80720027335928,0.577183112354251,67.72,1.87,34.9,37.6,77.84,8.52,0.572,0.712
25,"Paraíba",250010,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",100,49.15,100,0.33,0.84,57.14,59.4,87.5,57.14,316.276982391025,314.736103784433,0.220285562728703,0.0105521553231401,0.995128072251912,0.00487192774808783,1,0,0,0,0,0,0.736088238019144,0.358143914884316,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",250010,2012,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",100,60.27,100,0.32,1.01,NA,NA,87.5,42.86,408.349565081677,370.579977109562,0.249417599565771,0.149378313838918,0.907506726584708,0.0924932734152923,0.893788088753455,0.0901423566513424,0,0,0,0,0.712940107054247,0.29666649146689,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",250020,1991,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5,4.99,90.38,116.6,56.54,6.24,0.273,0.508
25,"Paraíba",250020,2000,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.13,3.33,52.82,67.7,66.63,8.39,0.392,0.619
25,"Paraíba",250020,2007,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",NA,NA,NA,NA,NA,NA,NA,NA,NA,414.020989180052,363.351962757876,0.226581443945536,0.195398765326062,0.877617251911495,0.122382748088505,0.974492335351397,0,0,0,0.022972984188434,0,0.530755234151527,0.41381265079955,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",250020,2008,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",100,60.73,100,0,0.24,59.3,58.14,16.67,0,318.143052958722,293.517873498193,0.239523327028263,0.194778665645184,0.922597148573527,0.0774028514264734,0.97960786642584,0,0,0,0.0203921335741606,0,0.496149767479189,0.40669605479491,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",250020,2009,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",100,55.03,100,0.02,0.31,53.09,56.79,66.67,0,368.899142588326,348.060303420806,0.230134309964632,0.168540118182236,0.943510741116645,0.0564892588833554,0.983360465620522,0,0,0,0.0166395343794779,0,0.524921901251737,0.438726464574926,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",250020,2010,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",100,43.16,100,0.07,0.42,39.44,59.15,33.33,28.57,604.814080183771,393.896523854171,0.31224443519341,0.561883201105219,0.651268772933472,0.348731227066528,0.673642840977848,0,0,0,0.326357159022152,0,0.366272134899474,0.455888948127439,70.17,2.02,26.9,28.99,82.13,11.43,0.597,0.753
