"indicador","ano","min","q4neg","q3neg","q2neg","q0","q2","q3","q4","max"
"INDICADOR_007","2008","0","0.00333333333333333","0.00666666666666667","0.03","0.12","0.3124","0.6364","0.8468","1"
"INDICADOR_007","2009","0","0.00333333333333333","0.00666666666666667","0.03","0.15","0.3524","0.9064","6.00360000000001","7.35"
"INDICADOR_007","2010","0","0.00333333333333333","0.00666666666666667","0.04","0.19","0.3824","0.7116","1.556","1.74"
"INDICADOR_007","2011","0","0.00333333333333333","0.00666666666666667","0.0976","0.32","0.8124","1.5028","2.477","2.62"
"INDICADOR_007","2012","0","0.01","0.0284","0.14","0.39","0.8024","1.6132","7.9518","8.68"
