"indicador","ano","min","q4neg","q3neg","q2neg","q0","q2","q3","q4","max"
"INDICADOR_035","2008","0","5.55666666666667","11.1133333333333","16.67","66.67","83.33","83.33","91.665","100"
"INDICADOR_035","2009","0","5.55666666666667","11.1133333333333","33.33","66.67","83.33","83.33","91.665","100"
"INDICADOR_035","2010","0","4.1675","8.335","12.5025","66.67","83.33","83.33","91.665","100"
"INDICADOR_035","2011","0","3.125","6.25","9.375","50","77.9999999999998","89.5","100","100"
"INDICADOR_035","2012","0","3.125","6.25","9.375","12.5","75","87.5","100","100"
