"indicador","ano","min","q4neg","q3neg","q2neg","q0","q2","q3","q4","max"
"INDICADOR_021",2009,10.53,5.35476444028675,20.955589566526,36.5564146927653,52.1572398190045,67.7580649452438,83.358890071483,98.9597151977223,92.16
"INDICADOR_021",2010,13.98,13.8908125022438,28.6074194962169,43.3240264901899,58.0406334841629,72.7572404781359,87.4738474721089,102.190454466082,95.56
"INDICADOR_021",2011,18.87,22.7489834194917,35.4549482223459,48.1609130252001,60.8668778280543,73.5728426309085,86.2788074337627,98.9847722366169,95.83
"INDICADOR_035",2008,0,0,0,16.67,66.67,83.33,100,100,100
"INDICADOR_035",2009,0,0,0,33.33,66.67,83.33,100,100,100
"INDICADOR_035",2010,0,0,0,0,66.67,83.33,100,100,100
"INDICADOR_035",2011,0,0,0,0,50,77.9999999999998,89.5,100,100
"INDICADOR_035",2012,0,0,0,0,12.5,75,87.5,100,100
"INDICADOR_041",2008,0,0,0,0,0,0,28.57,28.57,28.57
"INDICADOR_041",2009,0,0,0,0,0,0,28.57,28.57,28.57
"INDICADOR_041",2010,0,0,0,0,0,28.57,71.43,85.71,85.71
"INDICADOR_041",2011,0,0,0,0,28.57,71.43,85.71,100,100
"INDICADOR_041",2012,0,0,0,0,42.86,71.43,85.71,100,100
"INDICADOR_101",2007,159.869646774737,166.766544011814,216.711358453157,252.711532585666,344.877236288331,519.920686734629,780.318002553206,1557.12939773507,1713.57986861012
"INDICADOR_101",2008,143.789050374541,152.657073624972,208.888159188842,260.912086519812,354.92934455903,484.399622850107,808.21596230223,1213.34323819505,1281.41566561237
"INDICADOR_101",2009,218.300485941498,220.795178855954,231.753652559632,276.433496981933,363.356053092938,492.825028328893,841.764385708271,1273.43984078132,1298.10480973878
"INDICADOR_101",2010,227.855323887874,230.299903232081,256.606438189508,300.342863780068,390.685692485547,525.673765217334,898.183073951705,1224.62151290992,1238.86782870609
"INDICADOR_101",2011,97.2911364318086,119.656948591958,263.486101298645,322.492861681913,418.579448493349,538.166200251227,934.44287774598,1275.0572952211,1315.05549318446
"INDICADOR_101",2012,14.367012378722,59.6163804524637,275.392839450861,337.408719655132,448.226630288095,612.040097023105,894.208446341547,1223.95753559616,1268.8181296191
"INDICADOR_102",2007,159.468143871657,164.024637719071,202.150458493647,244.316266902866,325.089514402376,489.394707090063,754.92457181845,1315.04451067808,1408.38792220279
"INDICADOR_102",2008,142.165837380757,149.829718823252,205.156221960364,246.027131233889,331.686896139483,458.065394107075,743.212409536455,1097.94303472098,1158.22679604137
"INDICADOR_102",2009,203.283270979895,204.307559978829,216.130049763265,269.415653368939,344.291676155847,475.834647782548,736.903227245155,1174.25509733768,1240.31633006274
"INDICADOR_102",2010,222.921758502658,225.548312920944,247.393016445157,288.398096088573,368.431021976666,485.29425478745,810.449667898081,1112.98777728354,1172.78154819656
"INDICADOR_102",2011,92.5663130800199,108.537809967587,245.232856775293,308.781421922091,387.99715484126,506.222774402929,863.719491968404,1174.27107228129,1235.69057312041
"INDICADOR_102",2012,13.783037805286,59.0875054971676,259.241796908658,317.899618229929,415.47131498471,533.766404418277,853.186315754596,930.22774177953,935.118815899582
"INDICADOR_103",2007,0.131059168225886,0.133080437573464,0.177743306637056,0.19832888962547,0.232142071566059,0.277338813479647,0.35271132226466,0.49186040335028,0.499598290630935
"INDICADOR_103",2008,0.107529744813085,0.11701074806716,0.160647100318876,0.197557877797546,0.229702077012039,0.273249314660565,0.341644801283342,0.442619883154832,0.443658548173168
"INDICADOR_103",2009,0.148851662007346,0.149643943290831,0.167033529009677,0.194650494711013,0.224012960238246,0.275998425306324,0.344908201684688,0.485627815437709,0.501532009590727
