"REGIAO","ANO","INDICADOR_001","INDICADOR_002","INDICADOR_004","INDICADOR_007","INDICADOR_009","INDICADOR_020","INDICADOR_021","INDICADOR_035","INDICADOR_041","INDICADOR_114","INDICADOR_105","INDICADOR_106","INDICADOR_111","INDICADOR_110","INDICADOR_109","INDICADOR_107","INDICADOR_112","INDICADOR_108","INDICADOR_113","INDICADOR_103","INDICADOR_102","INDICADOR_101"
"Agreste Paraibano",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6411581878,3.98291010813083,0.313622212111726,0.01730805425,0.0150449487435,0.027112048637604,1269851.53,0,832785.65,1020249.81,0.232183943175251,1033.71339622746,273.567018199542
"Agreste Paraibano",2008,100,40.905,100,0.15,0.94,64.235,48.055,66.67,0,0.59944267245,3.90356517267074,0.399483232451396,0.01626196717,0.013965255194,0.0353291888487657,1623012.9,0,1090880.4,1249385.89,0.231637568623273,1181.72481045345,315.520733805386
"Agreste Paraibano",2009,100,38.9,100,0.195,0.97,63.905,55.625,75,0,0.4866127594,4.23541276800185,0.273859658157088,0.01579017316,0.0137517998975,0.0195209343671316,1702896.875,0,985988.995,1539279.16,0.226106253706485,1260.04293670632,310.199495360816
"Agreste Paraibano",2010,100,41.615,100,0.255,1.095,59.73,62.18,66.67,0,0.4059489679,4.15533030745217,0.362899779017301,0.015781612265,0.012455087304,0.0239371372113336,1824757.75,0,1384208.58,1850961.24,0.224334358103056,1463.28614262257,351.579355044422
"Agreste Paraibano",2011,100,37.23,100,0.32,1.245,57.21,60.42,37.5,57.14,0.3660661601,4.07403456536573,0.360571066231973,0.016574889255,0.014025797037,0.0275625473835428,2093367.4,0,1409168.24,1898157.62,0.224350413806829,1717.09911294149,419.099060185054
"Agreste Paraibano",2012,100,31.795,100,0.46,1.61,NA,NA,25,57.14,0.3019110798,3.93111594643231,0.480362357486261,0.015997933375,0.0130204187975,0.0116906452270227,2468711.94,0,1553980.23,2215194.21,0.226410582993092,1890.29706413938,491.26555150489
"Borborema",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6001849333,4.00135438131112,0.43822327907347,0.01147726607,0.0117665525335,0.0117198427100177,734729.195,0,684022.9,692969.555,0.2284109160254,736.391263552403,210.833711281336
"Borborema",2008,100,43.73,100,0.285,0.785,64.04,59.905,66.67,0,0.5182914589,3.94114293479014,0.49518217434819,0.01433419842,0.0154358099755,0.0302755941434703,1010453.11,0,872159.11,741804.12,0.235865399276147,836.288077563155,242.253757128206
"Borborema",2009,100,37.28,100,0.34,0.905,56.17,59.505,66.67,0,0.4684857101,4.12958824883973,0.343156061510386,0.010007790325,0.01110488847,0.0358481740827507,978608.545,0,890728.32,850356.86,0.226493483882662,894.684104572596,233.162725417109
"Borborema",2010,100,37.06,100,0.24,0.83,52.325,66.595,66.67,0,0.44345240175,4.08958236074666,0.444845987944693,0.013208065315,0.011869940725,0.017226747733922,1360129.235,0,869018.44,924567.03,0.220999483320532,1052.99588111596,264.081068246071
"Borborema",2011,100,31.905,100,0.38,1.09,52.01,66.51,37.5,28.57,0.37639870185,4.25490282239507,0.506831861152473,0.013109412955,0.012906724999,0.0297349133609047,1492041.095,0,651863.42,1027066.27,0.225091817183245,1232.05519330824,308.711508046389
"Borborema",2012,100,35.71,100,0.435,1.49,NA,NA,12.5,28.57,0.3209647018,3.80442684008545,0.590678877752278,0.012918160305,0.0095369851205,0.0233018372777415,1674847.39,0,1145333.99,1146902.09,0.226762294344218,1406.80344711653,361.244973539438
"Brejo Paraibano",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47028001855,3.68161833556055,0.284488494755613,0.01611095355,0.0150449487435,0.0136826226445929,1732420.98,0,649436.78,931527.37,0.254211478121232,1083.21307776612,250.524985885683
"Brejo Paraibano",2008,100,47.875,100,0.155,0.875,68.67,46.075,41.665,0,0.466720018,3.85403196891588,0.446787692521198,0.01648511438,0.013651349322,0.0310812916695172,2007528.7,0,1086057.815,964673.915,0.23627055960476,1316.34488986262,311.830151524888
"Brejo Paraibano",2009,100,45.935,100,0.23,0.85,68.475,49.255,75,0,0.2126746024,3.80242807073642,0.301060875273723,0.01547948227,0.0146904948375,0.00220950248503578,2124853.49,0,1140629.26,1207144.45,0.251259852562979,1424.36539374448,334.547581870146
"Brejo Paraibano",2010,100,43.75,100,0.16,0.965,60.82,56.1,58.335,0,0.2949610545,3.90855257819277,0.295577882944465,0.01616633179,0.014339114185,0.0211026010036526,2869962.325,0,1588729.11,2578597.695,0.249742651351709,1585.27130722251,376.735296947403
"Brejo Paraibano",2011,100,40.85,100,0.275,1.125,62.625,57.59,43.75,21.43,0.3620026644,3.83676118366678,0.307649847765127,0.01367936333,0.011495075723,0.0246763883171727,3491024.48,0,1736125.72,1438143.01,0.245638967039048,1787.50453158655,442.226317193171
"Brejo Paraibano",2012,100,35.91,100,0.315,1.525,NA,NA,43.75,28.575,0.30390543505,3.63777393823519,0.477826473887308,0.011683944665,0.010160588387,0.00382002897241316,3314971.87,0,1928077.63,3120552.955,0.24975958859248,1937.79517455726,502.123816797988
"Cajazeiras",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5267283192,4.58915122962984,0.818183268017749,0.02452845309,0.022946379295,NA,1186357.98,0,231787.18,732786.215,0.191972979316027,1018.63712317176,204.607915997246
"Cajazeiras",2008,100,44.19,100,0.005,0.665,45.96,45.86,75,0,0.64491663085,4.36140946505353,0.623532289145935,0.02074672971,0.016417666357,NA,1590618.13,0,313359.335,735427.73,0.197935857300902,1016.34517248295,203.067515042118
"Cajazeiras",2009,100,46.9,100,0.005,0.665,42.155,41.085,83.33,0,0.5290175476,4.88921171480262,0.484252093319553,0.0229898785,0.0223282469695,NA,1542706.16,0,469899.31,1643362.98,0.203444786438599,1090.93599241214,221.312424121406
